"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\前端开发\6. 小程序\uniapp\1. 基础\server\dao\bcrypt.js", "JavaScript", 10, 5, 6, 21
"e:\前端开发\6. 小程序\uniapp\1. 基础\server\dao\dbserver.js", "JavaScript", 1002, 249, 122, 1373
"e:\前端开发\6. 小程序\uniapp\1. 基础\server\dao\emailServer.js", "JavaScript", 26, 7, 4, 37
"e:\前端开发\6. 小程序\uniapp\1. 基础\server\dao\live.js", "JavaScript", 18, 0, 3, 21
"e:\前端开发\6. 小程序\uniapp\1. 基础\server\dao\socket.js", "JavaScript", 37, 17, 9, 63
"Total", "-", 1093, 278, 144, 1515
